"Отметка времени","1. Из каких систем вы собираете данные для анализа?","2. Насколько критична для ваших бизнес-процессов синхронизация данных в реальном времени по сравнению с периодическим обновлением?","3. Какие инструменты и технологии вы используете для текущей интеграции данных?","4. Насколько эти используемые инструменты и технологии удовлетворяют ваши потребности?","5. Сталкивались ли вы с проблемами при масштабировании текущих решений по интеграции?","6. Какие типы проблем с качеством данных наиболее распространены?","7. Существуют ли у вас правила или процессы для управления качеством данных после их интеграции?","8. Как вы отслеживаете конфликты, возникающие из-за противоречий в данных из разных систем?","9. Как вы разрешаете конфликты, возникающие из-за противоречий в данных из разных систем?","10. Как вы обеспечиваете безопасность и конфиденциальность данных в процессе интеграции?","11. Какие вы используете политики доступа к интегрированным данным?","12. Если бы вы могли решить одну самую важную проблему, связанную с разрозненными данными, чтобы это было?","13. Какие новые аналитические возможности или бизнес-инициативы вы смогли бы реализовать имея единое хранилище интегрированных данных?"
"2025/10/20 10:31:39 PM GMT+3","CRM;Excel","Важно","Ручное выполнение","Полностью удовлетворяют","Периодически","Дубликаты данных;Пропуски данных;Некорректные значения","Есть оба варианта","Используется сравнение контрольных сумм;Используется регулярный аудит","Разрешается вручную","Шифрование;Двухфакторная аутентификация;Строгие политики паролей","Аудит и мониторинг доступа","Использование AI","Хз😁"
"2025/10/20 10:43:25 PM GMT+3","Excel;1С","Важно","API-интеграция;Интеграционная шина (EBS);Файловый обмен","Полностью удовлетворяют","Периодически","Дубликаты данных;Некорректные значения","Ничего из выше перечисленного","Используется регулярный аудит","Объединение данных;Арбитраж;Применение бизнес-правил","Строгие политики паролей","Ролевая модель доступа (RBAC);Детализация доступа на уровне данных","",""
"2025/10/20 11:04:36 PM GMT+3","CRM;ERP;SQL-базы","Важно","API-интеграция;Интеграционная шина (EBS)","Скорее удовлетворяют","Редко","Дубликаты данных;Несоответствие форматов","Есть описанные процессы","Используются правила валидации данных;Используется мониторинг и логирование;Используется сравнение контрольных сумм","Разрешается вручную;Арбитраж;Применение бизнес-правил","Шифрование;Строгие политики паролей;Принцип наименьших привилегий","Принцип наименьших привилегий (PoLP);Аудит и мониторинг доступа","Проблему взаимных блокировок при дублировании данных","Масштабирование и быстро действие систем"
"2025/10/20 11:30:17 PM GMT+3","ERP;SQL-базы;Excel","Важно","API-интеграция;Интеграционная шина (EBS)","Полностью удовлетворяют","Периодически","Дубликаты данных;Некорректные значения;Большой объем данных, не хватает памяти","Есть перечень правил","Используется мониторинг и логирование","Приоритет источника («Last-Write-Wins»);Применение бизнес-правил","Двухфакторная аутентификация","Ролевая модель доступа (RBAC);Контроль доступа на основе атрибутов (ABAC)","Использование единых справочников ","Получение корректной отчётности и статистики"
"2025/10/20 11:33:08 PM GMT+3","CRM;ERP;SQL-базы;Excel","Критично","API-интеграция;Интеграционная шина (EBS);Микросервисы;Файловый обмен;Ручное выполнение","Скорее удовлетворяют","Редко","Дубликаты данных;Пропуски данных","Есть оба варианта","Используются правила валидации данных;Используется мониторинг и логирование","Разрешается вручную;Арбитраж;Применение бизнес-правил","Шифрование;Двухфакторная аутентификация;Строгие политики паролей","Аудит и мониторинг доступа","Выравнивание данных в констстентность","· 360° клиент: Полный профиль из всех систем.
· Прогнозирование: Отток клиентов, спрос, поломки оборудования.
· Оптимизация: Цепочка поставок, запасы, мошенничество."
"2025/10/20 11:36:33 PM GMT+3","CRM;ERP;SQL-базы;Excel;Другое ","Важно","API-интеграция;Интеграционная шина (EBS);Микросервисы;Файловый обмен;Ручное выполнение;Брокеры сообщений ","Полностью удовлетворяют","Периодически","Пропуски данных;Некорректные значения","Есть оба варианта","Используется мониторинг и логирование;Используется сравнение контрольных сумм;Используется регулярный аудит","Приоритет источника («Last-Write-Wins»);Разрешается вручную","Маскирование, токенизация, анонимизация;Строгие политики паролей","Детализация доступа на уровне данных","Структурирование данных ","Универсально настраиваемую ответную систему "
"2025/10/21 4:56:04 AM GMT+3","CRM;ERP;SQL-базы;Облачные сервисы;Excel","Критично","API-интеграция;Файловый обмен;Ручное выполнение","Скорее удовлетворяют","Редко","Некорректные значения","Ничего из выше перечисленного","Используются правила валидации данных;Используется мониторинг и логирование;Используется регулярный аудит","Приоритет источника («Last-Write-Wins»);Объединение данных;Разрешается вручную","Двухфакторная аутентификация;Строгие политики паролей;Принцип наименьших привилегий","Ролевая модель доступа (RBAC);Детализация доступа на уровне данных;Аудит и мониторинг доступа;Управление жизненным циклом доступа","",""
"2025/10/21 8:06:40 AM GMT+3","SQL-базы;Excel","Критично","API-интеграция","Скорее удовлетворяют","Периодически","Дубликаты данных;Пропуски данных;Несоответствие форматов","Есть перечень правил","Используются правила валидации данных","Объединение данных","Маскирование, токенизация, анонимизация;Принцип наименьших привилегий","Ролевая модель доступа (RBAC);Принцип наименьших привилегий (PoLP);Управление жизненным циклом доступа","Конвертация в единый формат при получении","Уменьшение размера бекапов и отказ использования хранения сырых данных без конвертации"
"2025/10/21 9:32:19 AM GMT+3","CRM;ERP","Важно","API-интеграция;Интеграционная шина (EBS);Микросервисы;Файловый обмен","Полностью удовлетворяют","Редко","Дубликаты данных;Некорректные значения;Несоответствие форматов","Ничего из выше перечисленного","Используются правила валидации данных;Используется мониторинг и логирование","Приоритет источника («Last-Write-Wins»);Разрешается вручную","Принцип наименьших привилегий","Ролевая модель доступа (RBAC);Детализация доступа на уровне данных","Дублирование",""
"2025/10/21 10:26:15 AM GMT+3","SQL-базы;Облачные сервисы","Критично","Микросервисы","Полностью удовлетворяют","Не сталкиваюсь","Дубликаты данных;Некорректные значения","Есть оба варианта","Используются правила валидации данных;Используется мониторинг и логирование;Используется сравнение контрольных сумм;Используется регулярный аудит","Применение бизнес-правил;Векторы версий и CRDTs","Шифрование;Двухфакторная аутентификация;Строгие политики паролей;Принцип наименьших привилегий","Ролевая модель доступа (RBAC);Принцип наименьших привилегий (PoLP);Аудит и мониторинг доступа","Реализация контроля доступа на уровне атрибутов","Можно было реализовать детальный процесс майнинг "
"2025/10/21 10:51:30 AM GMT+3","CRM;ERP;SQL-базы;Облачные сервисы","Важно","API-интеграция;Интеграционная шина (EBS);Ручное выполнение","Скорее удовлетворяют","Редко","Пропуски данных;Некорректные значения","Ничего из выше перечисленного","Используется сравнение контрольных сумм","Разрешается вручную","Шифрование;Строгие политики паролей","Детализация доступа на уровне данных","",""
"2025/10/21 11:07:12 AM GMT+3","CRM;SQL-базы","Важно","API-интеграция","Полностью удовлетворяют","Периодически","Пропуски данных;Некорректные значения;Несоответствие форматов","Есть оба варианта","Используются правила валидации данных;Используется мониторинг и логирование;Используется сравнение контрольных сумм","Приоритет источника («Last-Write-Wins»)","Шифрование;Маскирование, токенизация, анонимизация","Ролевая модель доступа (RBAC)","",""
"2025/10/21 11:14:38 AM GMT+3","Облачные сервисы","Критично","Ручное выполнение","Скорее не удовлетворяют","Редко","Несоответствие форматов","Есть оба варианта","Используется сравнение контрольных сумм","Разрешается вручную","Шифрование","Детализация доступа на уровне данных","Не знаю",""
"2025/10/21 11:15:33 AM GMT+3","Excel","Важно","API-интеграция","Полностью не удовлетворяют","Периодически","Несоответствие форматов","Есть описанные процессы","Используется регулярный аудит","Приоритет источника («Last-Write-Wins»)","Шифрование","Аудит и мониторинг доступа","",""
"2025/10/21 11:17:17 AM GMT+3","CRM","Не очень важно","API-интеграция","Скорее не удовлетворяют","Периодически","Несоответствие форматов","Есть описанные процессы","Используется сравнение контрольных сумм","Разрешается вручную","Принцип наименьших привилегий","Принцип наименьших привилегий (PoLP)","",""
"2025/10/21 11:17:47 AM GMT+3","SQL-базы","Важно","Интеграционная шина (EBS)","Полностью удовлетворяют","Периодически","Дубликаты данных","Есть описанные процессы","Используются правила валидации данных","Объединение данных","Маскирование, токенизация, анонимизация","Ролевая модель доступа (RBAC)","",""
"2025/10/21 11:18:17 AM GMT+3","SQL-базы","Критично","Микросервисы","Полностью удовлетворяют","Периодически","Некорректные значения","Есть оба варианта","Используется регулярный аудит","Объединение данных","Двухфакторная аутентификация","Принцип наименьших привилегий (PoLP)","",""
"2025/10/21 11:19:01 AM GMT+3","SQL-базы","Не очень важно","API-интеграция","Ограничивают возможности","Редко","Несоответствие форматов","Есть оба варианта","Используется сравнение контрольных сумм","Объединение данных","Шифрование","Детализация доступа на уровне данных","",""
"2025/10/21 11:19:35 AM GMT+3","ERP","Не очень важно","Микросервисы","Скорее не удовлетворяют","Постоянно","Пропуски данных","Есть перечень правил","Используются правила валидации данных","Объединение данных","Маскирование, токенизация, анонимизация","Детализация доступа на уровне данных","",""
"2025/10/21 11:20:02 AM GMT+3","CRM","Не очень важно","Интеграционная шина (EBS)","Скорее не удовлетворяют","Периодически","Несоответствие форматов","Есть описанные процессы","Используется сравнение контрольных сумм","Разрешается вручную","Двухфакторная аутентификация","Принцип наименьших привилегий (PoLP)","",""
"2025/10/21 11:20:46 AM GMT+3","CRM","Не очень важно","Микросервисы","Скорее удовлетворяют","Не сталкиваюсь","Некорректные значения","Есть описанные процессы","Используется сравнение контрольных сумм","Разрешается вручную","Строгие политики паролей","Детализация доступа на уровне данных","",""
"2025/10/22 12:33:33 PM GMT+3","ERP;SQL-базы;Excel","Важно","API-интеграция;Файловый обмен","Скорее удовлетворяют","Постоянно","Дубликаты данных;Пропуски данных","Есть описанные процессы","Используется мониторинг и логирование","Разрешается вручную;Применение бизнес-правил","Двухфакторная аутентификация;Строгие политики паролей","Детализация доступа на уровне данных","",""
"2025/10/22 1:04:22 PM GMT+3","ERP;Excel","Важно","API-интеграция;Интеграционная шина (EBS)","Скорее удовлетворяют","Редко","Дубликаты данных","Есть перечень правил","Используется мониторинг и логирование","Приоритет источника («Last-Write-Wins»);Разрешается вручную","Двухфакторная аутентификация;Строгие политики паролей","Ролевая модель доступа (RBAC)","Удаление дубликатов","Однозначность данных, меньшее время на разработку новых интеграций"
"2025/10/27 8:37:50 AM GMT+3","CRM;Облачные сервисы","Не важно","ETL;API-интеграция;Файловый обмен","Ограничивают возможности","Периодически","Пропуски данных;Несоответствие форматов","Ничего из выше перечисленного","Используется мониторинг и логирование;Используется сравнение контрольных сумм","Приоритет источника («Last-Write-Wins»);Разрешается вручную;Применение бизнес-правил;Векторы версий и CRDTs","Шифрование;Строгие политики паролей;Принцип наименьших привилегий","Ролевая модель доступа (RBAC);Детализация доступа на уровне данных;Контроль доступа на основе атрибутов (ABAC)","",""
"2025/10/27 8:38:21 AM GMT+3","SQL-базы;1С","Критично","ETL;API-интеграция;Интеграционная шина (EBS);Микросервисы;Файловый обмен;Ручное выполнение","Скорее не удовлетворяют","Периодически","Дубликаты данных;Пропуски данных;Некорректные значения;Несоответствие форматов","Есть перечень правил","Используются правила валидации данных","Приоритет источника («Last-Write-Wins»);Применение бизнес-правил","Шифрование;Принцип наименьших привилегий","Контроль доступа на основе атрибутов (ABAC);Аудит и мониторинг доступа;Управление жизненным циклом доступа","",""
"2025/10/27 8:38:56 AM GMT+3","CRM;ERP;SQL-базы","Критично","ETL;Микросервисы;Файловый обмен;ЭДО","Полностью удовлетворяют","Не сталкиваюсь","Дубликаты данных;Пропуски данных;Несоответствие форматов","Есть перечень правил","Используются правила валидации данных;Используется мониторинг и логирование","Приоритет источника («Last-Write-Wins»);Арбитраж","Двухфакторная аутентификация;Строгие политики паролей","Ролевая модель доступа (RBAC);Принцип наименьших привилегий (PoLP)","",""
"2025/10/27 8:39:42 AM GMT+3","CRM;Облачные сервисы;Excel","Не важно","ETL;API-интеграция;Интеграционная шина (EBS);Микросервисы","Скорее удовлетворяют","Не сталкиваюсь","Дубликаты данных;Пропуски данных;Некорректные значения","Есть оба варианта","Используется мониторинг и логирование;Используется сравнение контрольных сумм","Приоритет источника («Last-Write-Wins»);Объединение данных;Разрешается вручную;Векторы версий и CRDTs","Шифрование;Двухфакторная аутентификация;Строгие политики паролей","Ролевая модель доступа (RBAC);Принцип наименьших привилегий (PoLP);Детализация доступа на уровне данных;Контроль доступа на основе атрибутов (ABAC);Аудит и мониторинг доступа;Управление жизненным циклом доступа","",""
"2025/10/27 8:40:07 AM GMT+3","CRM;Облачные сервисы;1С","Не важно","ETL;Микросервисы;Ручное выполнение","Скорее не удовлетворяют","Постоянно","Дубликаты данных;Пропуски данных","Ничего из выше перечисленного","Используется мониторинг и логирование;Используется сравнение контрольных сумм","Арбитраж;Векторы версий и CRDTs","Двухфакторная аутентификация","Ролевая модель доступа (RBAC);Детализация доступа на уровне данных","",""
"2025/10/27 8:40:50 AM GMT+3","CRM;ERP;SQL-базы;Excel;1С","Критично","API-интеграция;Микросервисы;Файловый обмен","Скорее не удовлетворяют","Периодически","Дубликаты данных;Некорректные значения;Несоответствие форматов","Есть оба варианта","Используется мониторинг и логирование;Используется сравнение контрольных сумм","Приоритет источника («Last-Write-Wins»);Разрешается вручную;Арбитраж","Шифрование;Строгие политики паролей;Принцип наименьших привилегий","Ролевая модель доступа (RBAC);Детализация доступа на уровне данных;Аудит и мониторинг доступа","",""
"2025/10/27 8:41:45 AM GMT+3","Облачные сервисы;Excel;Книги учета","Не очень важно","Файловый обмен;Ручное выполнение","Ограничивают возможности","Не сталкиваюсь","Дубликаты данных;Пропуски данных;Некорректные значения","Ничего из выше перечисленного","Используется сравнение контрольных сумм;Используется регулярный аудит","Разрешается вручную;Применение бизнес-правил","Ничего","Аудит и мониторинг доступа;Управление жизненным циклом доступа","",""